MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_V	swift_V_err
54477.40000000022	1.5531507279582857e-15	3.695211800695328e-18	9.300423771294146e-16	2.098027138925111e-18	4.558503154507019e-16	5.42865040066019e-19	7.507220290697228e-16	1.6106609432778352e-18	1.692624996905693e-15	1.084593975401967e-17	1.4109611546219877e-15	2.3684846215934924e-17	9.701154319864162e-16	2.994640115538986e-17
54477.45000000022	1.5387478548006618e-15	3.716556156252547e-18	9.271404643165946e-16	2.0855038447871512e-18	4.550759422126521e-16	5.464610892387172e-19	7.479708205341353e-16	1.6134736923199655e-18	1.6631802809609307e-15	1.0865250927570323e-17	1.3477350324970234e-15	2.367187542155695e-17	9.703302999027818e-16	3.0064314240052173e-17
54477.500000000226	1.5245189016501566e-15	3.739154941572078e-18	9.244320599839381e-16	2.07275056645557e-18	4.543011865717502e-16	5.501693344884612e-19	7.453172319128465e-16	1.6165650318963973e-18	1.634236138490871e-15	1.0885321098836343e-17	1.2872038533957013e-15	2.3681308636692893e-17	9.706955703721842e-16	3.0194693001356897e-17
54477.55000000023	1.5104984652233694e-15	3.762974298269358e-18	9.21931249768828e-16	2.0598234054990747e-18	4.535339174863988e-16	5.539371916380574e-19	7.427748627137438e-16	1.6198841820629498e-18	1.6058566554864675e-15	1.0907932942897776e-17	1.2294385829670068e-15	2.3712887115154342e-17	9.712208980341427e-16	3.0335460360388647e-17
54477.60000000023	1.496718048571883e-15	3.7879006549214444e-18	9.196512800782132e-16	2.0467763397846128e-18	4.527817037234125e-16	5.57703384139644e-19	7.403559904384557e-16	1.623363236542907e-18	1.578090510422332e-15	1.0933518071569398e-17	1.1744835469100538e-15	2.3765875380778822e-17	9.719158301940422e-16	3.048507741248397e-17
54477.650000000234	1.4832067388926271e-15	3.813842338055892e-18	9.176039187956086e-16	2.0337074581519574e-18	4.520517256728795e-16	5.614284804655184e-19	7.380719910976456e-16	1.6269726921597511e-18	1.55095152559206e-15	1.095904851909042e-17	1.1223510202008298e-15	2.3838350544629616e-17	9.727856064135628e-16	3.0641133039800067e-17
54477.70000000024	1.4699912847672677e-15	3.840738258905847e-18	9.157995108646145e-16	2.0207568933813952e-18	4.513507802674768e-16	5.650939216658083e-19	7.359333576492482e-16	1.6307222368694536e-18	1.5244494209235913e-15	1.0981394844099353e-17	1.073033029133354e-15	2.3928358537971508e-17	9.738298693280228e-16	3.0799897023199745e-17
54477.75000000024	1.4570961625738694e-15	3.8685596535609304e-18	9.142470413036522e-16	2.0080997089681676e-18	4.506852875213398e-16	5.686972918610014e-19	7.339497136896972e-16	1.6346561268982232e-18	1.4985944992279349e-15	1.0998143449420785e-17	1.026504442248742e-15	2.4034184080720352e-17	9.750478911667597e-16	3.095799594908557e-17
54477.80000000024	1.444543637188074e-15	3.897308904318529e-18	9.129542024037471e-16	1.995936567769795e-18	4.500612976985301e-16	5.72247101548419e-19	7.321298250300903e-16	1.6388461366323412e-18	1.4733974419218187e-15	1.1007678585578066e-17	9.827244868186635e-16	2.4154442106795446e-17	9.764389480492787e-16	3.111253506873647e-17
54477.850000000246	1.4323538181064329e-15	3.927017325547953e-18	9.119274650492272e-16	1.9844841757676866e-18	4.494844986622646e-16	5.757584426328182e-19	7.3048160979991085e-16	1.643384059409767e-18	1.4488690669501655e-15	1.1009101594073465e-17	9.416382944029798e-16	2.428816243781002e-17	9.780023199681832e-16	3.1261093579139275e-17
