# wavelength flux
4836.12715 9.94337e-18
4837.40285 1.02489e-17
4838.66851 1.06598e-17
4839.94421 1.08503e-17
4841.20987 1.07805e-17
4842.47553 1.07819e-17
4843.75123 1.10403e-17
4845.01689 1.13173e-17
4846.29259 1.13031e-17
4847.55825 1.10181e-17
4848.83395 1.07889e-17
4850.09961 1.09131e-17
4851.36526 1.11675e-17
4852.64097 1.12726e-17
4853.90662 1.11396e-17
4855.18233 1.10569e-17
4856.44798 1.09930e-17
4857.72368 1.06664e-17
4858.98934 1.02843e-17
4860.25500 1.01201e-17
4861.53070 1.03828e-17
4862.79636 1.06896e-17
4864.07206 1.08419e-17
4865.33772 1.06961e-17
4866.61342 1.02116e-17
4867.87908 9.72389e-18
4869.15478 9.64156e-18
4870.42044 1.00287e-17
4871.68610 1.04923e-17
4872.96180 1.06604e-17
4874.22746 1.04775e-17
4875.50316 1.00588e-17
4876.76882 9.58318e-18
4878.04452 9.25776e-18
4879.31018 9.16690e-18
4880.57583 9.14998e-18
4881.85153 9.22036e-18
4883.11719 9.40662e-18
4884.39289 9.53372e-18
4885.65855 9.53805e-18
4886.93425 9.72748e-18
4888.19991 1.01385e-17
4889.46557 1.02595e-17
4890.74127 9.91819e-18
4892.00693 9.59231e-18
4893.28263 9.63289e-18
4894.54829 9.90828e-18
4895.82399 1.01187e-17
4897.08965 1.02260e-17
4898.35531 1.01338e-17
4899.63101 1.00025e-17
4900.89667 1.00081e-17
4902.17237 1.00556e-17
4903.43802 1.00383e-17
4904.71373 1.00657e-17
4905.97938 1.01644e-17
4907.24504 1.03746e-17
4908.52074 1.06242e-17
4909.78640 1.09802e-17
4911.06210 1.12643e-17
4912.32776 1.12814e-17
4913.60346 1.11597e-17
4914.86912 1.11952e-17
