MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
54432.519899998435	2.5479921966284245e-15	1.6662411661403288e-17	7.43409563607912e-16	3.2377047768512253e-18	1.2206094296739287e-15	6.933174329970667e-18	2.212214316598492e-15	7.362362033180597e-17	1.7452675387299745e-15	1.7622147843485392e-17
54432.56989999844	2.5762277432069216e-15	1.684045602713645e-17	7.507455818505819e-16	3.2821073557674226e-18	1.2336891776607508e-15	7.007917951762883e-18	2.2335363515114073e-15	7.446499191443343e-17	1.767122421110302e-15	1.7809426825045012e-17
54432.61989999844	2.6040582730385603e-15	1.7017318010481962e-17	7.580101053878863e-16	3.301542027227828e-18	1.246583099198393e-15	7.082421576156517e-18	2.254670485918582e-15	7.526624310073598e-17	1.788752004796234e-15	1.7993632300367023e-17
54432.669899998444	2.6314919854387855e-15	1.7192862587502295e-17	7.652052289299108e-16	3.3001273587610774e-18	1.2592960538444248e-15	7.156574657550772e-18	2.2756217482668455e-15	7.603358376566345e-17	1.810158305673342e-15	1.8174800657152664e-17
54432.71989999845	2.658537073617373e-15	1.7367017685315364e-17	7.723330458042489e-16	3.2885634367052554e-18	1.2718328648304875e-15	7.230289145771565e-18	2.2963951040629607e-15	7.678338370823987e-17	1.831343336766514e-15	1.835298604973132e-17
54432.76989999845	2.6852017248123115e-15	1.753977596274452e-17	7.793956480012424e-16	3.283274399448143e-18	1.2841983531376195e-15	7.30351266811098e-18	2.3169954566832876e-15	7.754084988391663e-17	1.8523091082644615e-15	1.8528260277850562e-17
54432.81989999845	2.7114941203997906e-15	1.771119529068533e-17	7.863951258493145e-16	3.304239472677497e-18	1.2963973375525176e-15	7.376229629176104e-18	2.337427622383345e-15	7.833625390099506e-17	1.873057627542716e-15	1.8700712499971344e-17
54432.869899998455	2.7374224360291485e-15	1.7881398023172908e-17	7.933333796394111e-16	3.3621424008839464e-18	1.3084346347337143e-15	7.448461511489723e-18	2.3576958255741815e-15	7.916896323825448e-17	1.893590899189646e-15	1.8870448788057844e-17
54432.91989999846	2.762994841729315e-15	1.8050569131621707e-17	8.002118059535885e-16	3.4413554624836075e-18	1.320315059267215e-15	7.520266435081297e-18	2.377803731733723e-15	8.00095747965241e-17	1.9139109250295004e-15	1.9037591530442298e-17
54432.96989999846	2.7882194904571164e-15	1.821895047725296e-17	8.070317175235466e-16	3.5230792977322715e-18	1.3320434237266241e-15	7.59173802113767e-18	2.397754927664834e-15	8.083392568925015e-17	1.9340197082063373e-15	1.9202270389440674e-17
