MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56406.821399981956	4.6646039547001045e-14	4.187061255050073e-16	2.4425008316838958e-14	2.171525640197366e-16	4.203389880934887e-14	3.6324617093360977e-16	9.458252475819087e-15	8.462920855199866e-17	1.7464768105186715e-14	1.5484362356042117e-16	8.308514487181381e-14	2.610098727532429e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.87139998196	4.7027183823113806e-14	4.162482235912998e-16	2.4589404374431645e-14	2.153962225122639e-16	4.2093587742107655e-14	3.5993388476887677e-16	9.553406707762394e-15	8.375297628224443e-17	1.7608491789934463e-14	1.5313090951476076e-16	8.368114805223384e-14	2.6501720664630556e-15	9.892479718468724e-14	2.5783574946556977e-15	nan	nan	1.6469749687560523e-13	4.442326567802088e-15	2.477351465427041e-13	6.8498320734831395e-15	2.4978856862407397e-14	8.017566207715086e-16
56406.92139998196	4.740338832954569e-14	4.141847610908406e-16	2.4752591799692678e-14	2.1385063694633674e-16	4.2153246364938116e-14	3.5672175472400645e-16	9.648183175779836e-15	8.298839822334497e-17	1.7751419226569293e-14	1.515907938907893e-16	8.424420330815413e-14	2.688806849341608e-15	9.888672194958768e-14	2.5569469461521262e-15	2.4001481654305886e-13	7.0922238517822095e-15	1.6440819242320555e-13	4.429649080009076e-15	2.468561272235089e-13	6.878906381423811e-15	2.5078711660806873e-14	7.960283433521742e-16
56406.971399981965	4.7774530033181496e-14	4.1250092251544415e-16	2.4914523978849435e-14	2.1251168066252766e-16	4.221286624372534e-14	3.5361005889812873e-16	9.742557496290497e-15	8.233210550458209e-17	1.7893509509740412e-14	1.5021934267756492e-16	8.47756922165599e-14	2.7262825420184116e-15	9.884818311899999e-14	2.536545422668101e-15	2.393284531958669e-13	7.246653844056364e-15	1.6410788253528464e-13	4.423254891902744e-15	2.459493106261335e-13	7.0076339122488215e-15	2.5178929615540055e-14	7.91386957700184e-16
56407.02139998197	4.814048478531003e-14	4.1118203857821497e-16	2.5075154294429614e-14	2.113749463691952e-16	4.2272438944409826e-14	3.5059902818374247e-16	9.836505284235958e-15	8.178061273599765e-17	1.8034721741050455e-14	1.4901244426877202e-16	8.527698993310293e-14	2.7629814853828014e-15	9.880916895185616e-14	2.517129215394086e-15	2.3861981414504847e-13	7.52183533891373e-15	1.6379680283796438e-13	4.4228675864048694e-15	2.450153174571895e-13	7.22604838763513e-15	2.5279495309711982e-14	7.877980521061179e-16
56407.07139998197	4.850112827982167e-14	4.102137868372702e-16	2.5234436094606646e-14	2.104357550114927e-16	4.233195600314725e-14	3.476888209400751e-16	9.930002367686895e-15	8.133031712354419e-17	1.8175015128755283e-14	1.4796578498031734e-16	8.574946543725391e-14	2.7993794708087586e-15	9.876966770302226e-14	2.498673494743492e-15	2.3788938882290874e-13	7.899298739063849e-15	1.6347518509340252e-13	4.4281869772412395e-15	2.440547592192208e-13	7.52190481108675e-15	2.5380393330819606e-14	7.85223048183824e-16
56407.121399981974	4.8856368065842266e-14	4.0958034432182725e-16	2.5392328907158184e-14	2.096888099641461e-16	4.239140855754959e-14	3.4487924389562627e-16	1.0023030980037319e-14	8.097683220762424e-17	1.8314351476169095e-14	1.4707469281999658e-16	8.61944817765862e-14	2.8360340773003394e-15	9.872966762325458e-14	2.481152371231603e-15	2.371376591014993e-13	8.359696262403026e-15	1.6314325727632155e-13	4.438893390870975e-15	2.4306823841517214e-13	7.882280576771142e-15	2.5481608270441028e-14	7.836196276350444e-16
56407.17139998198	4.920617749701225e-14	4.0926231317039164e-16	2.5548815488261927e-14	2.091274147721595e-16	4.245078746029161e-14	3.4216983523545563e-16	1.0115580903157104e-14	8.071489351379751e-17	1.8452709656338986e-14	1.46333080973943e-16	8.661339631021757e-14	2.8735704252388227e-15	9.868915695910351e-14	2.46453896244126e-15	2.363650994536167e-13	8.885001418990355e-15	1.628012436496386e-13	4.4546520760100255e-15	2.420563487507553e-13	8.294801229134808e-15	2.5583124723925696e-14	7.829422204374747e-16
56407.22139998198	4.9550537840155695e-14	4.0924027326150323e-16	2.570388394265708e-14	2.0874444334917551e-16	4.251008355771125e-14	3.395600721848793e-16	1.0207642359826168e-14	8.053920831296417e-17	1.859007561189801e-14	1.4573426053346287e-16	8.700756095144792e-14	2.9126640779839125e-15	9.864812395284944e-14	2.4488054654798046e-15	2.355721771120602e-13	9.459613762967187e-15	1.6244936483921352e-13	4.475117583159534e-15	2.410196753347603e-13	8.74836040312597e-15	2.568492729008161e-14	7.831425363717321e-16
56407.27139998198	4.9889430276494003e-14	4.0949547291116414e-16	2.5857522375314085e-14	2.0853266435800384e-16	4.2569287696170586e-14	3.370493746879033e-16	1.0299205572824424e-14	8.044455389665666e-17	1.872643533987953e-14	1.4527152921819244e-16	8.73783224096216e-14	2.954020977418545e-15	9.860655684242266e-14	2.433923234256765e-15	2.3475935222718676e-13	1.0070634012446506e-14	1.6208783790773328e-13	4.499937975540596e-15	2.3995879487735835e-13	9.233408035519668e-15	2.5787000570866487e-14	7.841701210216437e-16
56407.321399981985	5.022283598448721e-14	4.1001002043778987e-16	2.6009718968104067e-14	2.084847603507913e-16	4.2628390721888246e-14	3.346371046027813e-16	1.0390260795959245e-14	8.042582024574281e-17	1.886177514326752e-14	1.4493818722069196e-16	8.772702243125058e-14	2.9983545285784753e-15	9.856444386132396e-14	2.4198628608615932e-15	2.339270780227985e-13	1.0707675755225189e-14	1.617168764277487e-13	4.528758758148852e-15	2.388742758864428e-13	9.741954259655012e-15	2.5889329171076145e-14	7.859729178175859e-16
56407.37139998199	5.0550736204266074e-14	4.10766825273159e-16	2.6160462134062655e-14	2.0859334068083537e-16	4.2687383449988345e-14	3.3232255811931505e-16	1.0480798606548512e-14	8.047800257181317e-17	1.899608145593391e-14	1.447275718341859e-16	8.805498813910898e-14	3.0463419473105233e-15	9.852177323857934e-14	2.406594260282317e-15	2.3307580095040114e-13	1.1362490093201836e-14	1.6133669055388199e-13	4.561226440159598e-15	2.377666788620539e-13	1.0267423630967352e-14	2.5991897698033648e-14	7.884978191777248e-16
56407.42139998199	5.0873114326152954e-14	4.117458831530881e-16	2.6309744632534576e-14	2.0885014730682601e-16	4.274625566973936e-14	3.301047410006687e-16	1.0570807356428698e-14	8.059553106801242e-17	1.9129339337324798e-14	1.4463216283465898e-16	8.836321402695974e-14	3.0980121180129545e-15	9.847853319860696e-14	2.394086757682684e-15	2.3220596084186766e-13	1.2028560207956974e-14	1.6094748709422045e-13	4.5969916747921425e-15	2.3663655648893354e-13	1.0804452008523717e-14	2.609469076127929e-14	7.916911920974126e-16
56407.471399981994	5.1189956247799735e-14	4.1292357875155515e-16	2.6457564459774715e-14	2.0924592626422998e-16	4.280499593213564e-14	3.279823213291569e-16	1.0660272387895911e-14	8.077217423346871e-17	1.9261532191664848e-14	1.4464342842575787e-16	8.865229422276162e-14	3.152619237989061e-15	9.843471196121161e-14	2.3823091774433282e-15	2.313179910605434e-13	1.2700736526871561e-14	1.6054946958091414e-13	4.6357119476867815e-15	2.3548445382725394e-13	1.1348678492766463e-14	2.6197692972259145e-14	7.954993663557201e-16
56407.521399982	5.150124800216577e-14	4.1427717125524047e-16	2.6603919967373306e-14	2.0977150524345254e-16	4.286359271424077e-14	3.2595389382271615e-16	1.0749178864038068e-14	8.100191712953689e-17	1.9392643376549905e-14	1.447530136732384e-16	8.892279501819652e-14	3.209354795955312e-15	9.839029774145645e-14	2.3712299331714884e-15	2.304123186508286e-13	1.3374934793034158e-14	1.6014283833999372e-13	4.6770538082556414e-15	2.3431090850156635e-13	1.1896557169584993e-14	2.630088894401533e-14	7.998690765634241e-16
56407.571399982	5.1806975630494514e-14	4.157851642556141e-16	2.674880980507589e-14	2.104178776793368e-16	4.292203449286123e-14	3.2401799859808013e-16	1.0837511948374017e-14	8.127905237240159e-17	1.9522656720874717e-14	1.449528339170833e-16	8.917527860387601e-14	3.2674145795600818e-15	9.834527874961156e-14	2.3608171179257034e-15	2.294893644862736e-13	1.4047896755779033e-14	1.5972779056042436e-13	4.720694657444463e-15	2.3311645088801337e-13	1.2445197297017713e-14	2.6404263290874447e-14	8.047478523179787e-16
56407.621399982	5.21071251593021e-14	4.1742737431160195e-16	2.6892232778246196e-14	2.1117627045183765e-16	4.2980309744769416e-14	3.2217312348670584e-16	1.092525680189855e-14	8.159820836250398e-17	1.9651556288518828e-14	1.4523514279279695e-16	8.94103031691273e-14	3.3260168459443645e-15	9.829964319107799e-14	2.3510385938939838e-15	2.285495434162203e-13	1.471700472193553e-14	1.5930452036241283e-13	4.766324119597065e-15	2.3190160429984897e-13	1.2992232387461776e-14	2.6507800628137804e-14	8.100843535508174e-16
56407.671399982006	5.240168262799107e-14	4.1918497197839697e-16	2.703418769502271e-14	2.1203820498396497e-16	4.303840694641811e-14	3.2041770656222884e-16	1.101239858856145e-14	8.195437130646148e-17	1.977932614203245e-14	1.4559258932887438e-16	8.962842300120166e-14	3.3844158148604433e-15	9.825337926630759e-14	2.341862080843163e-15	2.275932644110255e-13	1.5380139395124256e-14	1.5887321886498313e-13	4.813645035837974e-15	2.3066688517131077e-13	1.3535715107453446e-14	2.6611485571770285e-14	8.158286506094888e-16
56407.72139998201	5.269063407136168e-14	4.210405070953918e-16	2.7174673360141538e-14	2.1299553007567876e-16	4.3096314574204685e-14	3.1875013885187974e-16	1.1098922470835009e-14	8.234289764537601e-17	1.990595034417031e-14	1.4601824886454877e-16	8.983018858391734e-14	3.441911187653437e-15	9.820647517073414e-14	2.333255242689167e-15	2.2662093070590005e-13	1.603557131493217e-14	1.5843407425283653e-13	4.862374122091736e-15	2.2941280323988676e-13	1.4074033825205696e-14	2.6715302738090132e-14	8.219324506289029e-16
