MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54148.47799998183	4.475911164790956e-16	1.314245112577381e-17	4.587384880400116e-16	1.3257443963019959e-17	nan	nan	1.9695459796139837e-16	1.127548613648053e-17	3.832693871475644e-16	2.077463951261844e-17	nan	nan	4.2211045391365495e-16	4.514347990220335e-17	1.516252699106289e-16	4.206465125838912e-17	nan	nan	nan	nan	nan	nan	4.567563209608487e-16	4.0338453482298364e-17
54148.52799998183	4.59051737955259e-16	1.3316916852808989e-17	4.679324603625353e-16	1.3263800320531732e-17	nan	nan	2.0058542783633408e-16	1.138594091664996e-17	3.8988711176266127e-16	2.0996702581505033e-17	nan	nan	4.332884048748417e-16	4.52414264495338e-17	1.577691057270377e-16	4.6806308034726076e-17	nan	nan	nan	nan	nan	nan	4.661133450401652e-16	4.0505412607031844e-17
54148.57799998183	4.706620755566574e-16	1.3483144047746723e-17	4.771845783203325e-16	1.328073450627484e-17	nan	nan	2.0423338489045924e-16	1.1496928641594804e-17	3.9652679117168657e-16	2.1218501291304586e-17	nan	nan	4.446187744169293e-16	4.541258140267079e-17	1.6400410607983743e-16	5.107361176871994e-17	nan	nan	nan	nan	nan	nan	4.755332270150507e-16	4.068473916793902e-17
54148.627999981836	4.824209774848367e-16	1.363219568776939e-17	4.864942917637103e-16	1.330763502182607e-17	nan	nan	2.07898404649245e-16	1.1608736472814678e-17	4.0318822776909443e-16	2.143974277149032e-17	nan	nan	4.561010823290345e-16	4.564119957505207e-17	1.7033421329984597e-16	5.4867154314882956e-17	nan	nan	nan	nan	nan	nan	4.850156296236581e-16	4.0876686153474034e-17
54148.67799998184	4.943272933358857e-16	1.3757328616419691e-17	4.958610345636146e-16	1.3341564784586207e-17	nan	nan	2.1158042169140956e-16	1.1721644698940074e-17	4.0987122410758243e-16	2.1660185019133554e-17	nan	nan	4.677348530129135e-16	4.5912014557342256e-17	1.767633761246947e-16	5.818912457572991e-17	nan	nan	nan	nan	nan	nan	4.945602140567163e-16	4.107808383593636e-17
54148.72799998184	5.063798740887662e-16	1.3853904832638642e-17	5.052842407793548e-16	1.3379607640082616e-17	nan	nan	2.1527935183314475e-16	1.1835642751286927e-17	4.165755828968168e-16	2.1879637785663967e-17	nan	nan	4.795196154656519e-16	4.6210751117829945e-17	1.8329554996539194e-16	6.104286595488101e-17	nan	nan	nan	nan	nan	nan	5.04166642880161e-16	4.1285743922211864e-17
54148.777999981845	5.18577572094447e-16	1.391928626841222e-17	5.147633449617581e-16	1.3419013322624727e-17	nan	nan	2.189950946077504e-16	1.195046834773857e-17	4.2330110700134223e-16	2.2097962755077284e-17	nan	nan	4.914549032621472e-16	4.652451747458311e-17	1.8993469717313554e-16	6.343265588506527e-17	nan	nan	nan	nan	nan	nan	5.138345801595274e-16	4.149669062814756e-17
54148.82799998185	5.309192410651617e-16	1.3952734163653145e-17	5.242977821480067e-16	1.3457280345457369e-17	nan	nan	2.2272754909933603e-16	1.2065859942841397e-17	4.300475994394798e-16	2.2315073077260167e-17	nan	nan	5.035402545377073e-16	4.68420880694717e-17	1.9668478730667926e-16	6.536359315830603e-17	nan	nan	nan	nan	nan	nan	5.235636914498309e-16	4.1708225600912375e-17
54148.87799998185	5.43403736062462e-16	1.3955321602429064e-17	5.338869878568044e-16	1.3492220897377546e-17	nan	nan	2.264766144866288e-16	1.218156824911042e-17	4.368148633815838e-16	2.253093231080974e-17	nan	nan	5.157752119709086e-16	4.715409296163767e-17	2.0354979740000903e-16	6.684154224379685e-17	nan	nan	nan	nan	nan	nan	5.333536437854109e-16	4.1917980166366376e-17
54148.927999981854	5.560299134867244e-16	1.3929858394885315e-17	5.435303980825371e-16	1.3522009844901354e-17	nan	nan	2.302421900423865e-16	1.2297358696108156e-17	4.4360270214826685e-16	2.2745552821366075e-17	nan	nan	5.281593227664027e-16	4.745313148889763e-17	2.1053371223033965e-16	6.787311037232915e-17	nan	nan	nan	nan	nan	nan	5.432041056698646e-16	4.2123955961069744e-17
54148.97799998186	5.687966310660165e-16	1.388081998290916e-17	5.532274492907258e-16	1.3545220169682802e-17	nan	nan	2.340241751328226e-16	1.2413013443530688e-17	4.504109192092068e-16	2.2958993672803185e-17	nan	nan	5.406921386380091e-16	4.773382660176355e-17	2.1764052458649206e-16	6.846564530584521e-17	nan	nan	nan	nan	nan	nan	5.531147470659601e-16	4.2324555041608496e-17
