MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54401.81979999966	nan	nan	nan	nan	nan	nan	nan	nan	5.982863532307945e-15	2.3888099115207827e-16	2.874997999320788e-15	1.0120775599571416e-16	4.576175289171449e-15	1.5841244989898478e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.869799999666	nan	nan	nan	nan	nan	nan	nan	nan	6.039514518629001e-15	2.4239779128118876e-16	2.9016986032491008e-15	1.0267640670092813e-16	4.6183886623204406e-15	1.6067854014188196e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.91979999967	nan	nan	nan	nan	nan	nan	nan	nan	6.0954309602950485e-15	2.4584643703014867e-16	2.9281434211987176e-15	1.0412260574142786e-16	4.660215512798536e-15	1.6291088248694244e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.96979999967	nan	nan	nan	nan	nan	nan	nan	nan	6.150612558892055e-15	2.4922768669904446e-16	2.9543298049151123e-15	1.0554567505167565e-16	4.701651448690298e-15	1.6510819961663753e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.019799999674	nan	nan	nan	nan	nan	nan	nan	nan	6.205058952321769e-15	2.5254280254034584e-16	2.980256656648589e-15	1.06944687393083e-16	4.742694402116052e-15	1.6726888921829755e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.06979999968	nan	nan	nan	nan	nan	nan	nan	nan	6.258769714694903e-15	2.557935032917596e-16	3.005923649429108e-15	1.0831866288412518e-16	4.783343460689347e-15	1.6939129884499045e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.11979999968	nan	nan	nan	nan	nan	nan	nan	nan	6.311744356224576e-15	2.589819181706821e-16	3.031330458723672e-15	1.0966676516886452e-16	4.823597716034988e-15	1.7147400038553535e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.16979999968	nan	nan	nan	nan	nan	nan	nan	nan	6.3639832925028465e-15	2.621099986186281e-16	3.056476756772736e-15	1.1098829213601074e-16	4.863456255296667e-15	1.7351577507444799e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.219799999686	nan	nan	nan	nan	nan	nan	nan	nan	6.4154920232495185e-15	2.651771392365587e-16	3.0813622125846523e-15	1.122826659855442e-16	4.9029181611257455e-15	1.7551559775352184e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.26979999969	nan	nan	nan	nan	nan	nan	nan	nan	6.466277686864165e-15	2.6818209692627006e-16	3.105986491930753e-15	1.1354942408339958e-16	4.941982511669069e-15	1.7747262240266161e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.31979999969	nan	nan	nan	nan	nan	nan	nan	nan	6.516347359576884e-15	2.7112394191727997e-16	3.1303492573409875e-15	1.1478821051638587e-16	4.980648380557701e-15	1.793861688072753e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.369799999695	nan	nan	nan	nan	nan	nan	nan	nan	6.5657080548253986e-15	2.740020545087561e-16	3.1544501680989105e-15	1.1599876826702044e-16	5.018914836896604e-15	1.8125571023651952e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.4197999997	nan	nan	nan	nan	nan	nan	nan	nan	6.614366723709997e-15	2.768161196692255e-16	3.1782888802357823e-15	1.1718093193329684e-16	5.05678094525196e-15	1.8308086201831902e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.4697999997	nan	nan	nan	nan	nan	nan	nan	nan	6.662330255445927e-15	2.795661202173267e-16	3.201865046527014e-15	1.1833462092430497e-16	5.094245765640804e-15	1.8486137090255727e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.5197999997	nan	nan	nan	nan	nan	nan	nan	nan	6.70960547781124e-15	2.822523286689436e-16	3.225178316485877e-15	1.194598330687551e-16	5.1313083535188936e-15	1.8659710511574697e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.56979999971	nan	nan	nan	nan	nan	nan	nan	nan	6.7561991575917936e-15	2.8487529780810655e-16	3.2482283363594462e-15	1.2055663857778224e-16	5.167967759769091e-15	1.882880450155428e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.61979999971	nan	nan	nan	nan	nan	nan	nan	nan	6.802118001022129e-15	2.874358500157323e-16	3.2710147491228113e-15	1.2162517430957523e-16	5.204223030690736e-15	1.8993427426350825e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.66979999971	nan	nan	nan	nan	nan	nan	nan	nan	6.847368654223117e-15	2.8993506537023593e-16	3.293537194504021e-15	1.2266563827162094e-16	5.240073208033271e-15	1.9153597141893034e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.719799999715	nan	nan	nan	nan	nan	nan	nan	nan	6.891957703635321e-15	2.923742685174142e-16	3.3157955846287707e-15	1.2367814866703491e-16	5.275517755305765e-15	1.930932110250316e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.76979999972	nan	nan	nan	nan	nan	nan	nan	nan	6.9358916764498605e-15	2.947550142929734e-16	3.337790777831995e-15	1.2466240796450376e-16	5.310557599893456e-15	1.9460549038898398e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.81979999972	nan	nan	nan	nan	nan	nan	nan	nan	6.979177041035183e-15	2.9707907207016824e-16	3.359523833438132e-15	1.256180678094747e-16	5.345193980490994e-15	1.9607224238318157e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.869799999724	nan	nan	nan	nan	nan	nan	nan	nan	7.021820207360149e-15	2.993484087962558e-16	3.3809958075092138e-15	1.2654482833503781e-16	5.3794281312017115e-15	1.9749297457256221e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.91979999973	nan	nan	nan	nan	nan	nan	nan	nan	7.063827527414382e-15	3.015651706755551e-16	3.4022077528565187e-15	1.2744243691241376e-16	5.413261281546984e-15	1.9886726691542112e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54402.96979999973	nan	nan	nan	nan	nan	nan	nan	nan	7.105205442096476e-15	3.0373137944483663e-16	3.423160719052918e-15	1.2831068688920774e-16	5.4466946564824354e-15	2.0019476949917064e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.01979999973	nan	nan	nan	nan	nan	nan	nan	nan	7.145961726939827e-15	3.0584650050720396e-16	3.4438557524440586e-15	1.2914941631141301e-16	5.4797294764073425e-15	2.0147520030474012e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.069799999736	nan	nan	nan	nan	nan	nan	nan	nan	7.186104870250233e-15	3.0790865075262177e-16	3.4642938961608327e-15	1.299585066274911e-16	5.512366957178529e-15	2.027083429920638e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.11979999974	nan	nan	nan	nan	nan	nan	nan	nan	7.225643312412854e-15	3.0991608631425645e-16	3.4844761901308453e-15	1.307378813712124e-16	5.5446083101219385e-15	2.0389404469677036e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.16979999974	nan	nan	nan	nan	nan	nan	nan	nan	7.264585438354875e-15	3.118672285114952e-16	3.5044036710896414e-15	1.3148750481819505e-16	5.576454742045868e-15	2.0503221383059178e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.219799999744	nan	nan	nan	nan	nan	nan	nan	nan	7.302939578118477e-15	3.1376067202949345e-16	3.52407737259373e-15	1.3220738061395677e-16	5.607907455252996e-15	2.0612281787627775e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.26979999975	nan	nan	nan	nan	nan	nan	nan	nan	7.340714007430399e-15	3.155951912289345e-16	3.543498325030208e-15	1.3289755036621006e-16	5.638967647551251e-15	2.0716588116692533e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.31979999975	nan	nan	nan	nan	nan	nan	nan	nan	7.377916948269886e-15	3.173697447233135e-16	3.5626675556305685e-15	1.335580921977592e-16	5.6696365122684044e-15	2.081614826406308e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.36979999975	nan	nan	nan	nan	nan	nan	nan	nan	7.414556569430837e-15	3.190834783429832e-16	3.5815860884812856e-15	1.3418911925404541e-16	5.69991523826254e-15	2.0910975355955296e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.419799999756	nan	nan	nan	nan	nan	nan	nan	nan	7.450640987083274e-15	3.2073572658749633e-16	3.600254944534903e-15	1.3479077815851429e-16	5.7298050099348835e-15	2.1001087518470858e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.46979999976	nan	nan	nan	nan	nan	nan	nan	nan	7.486178265329524e-15	3.2232601265119977e-16	3.618675141622678e-15	1.353632474108852e-16	5.759307007240724e-15	2.108650763934327e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.51979999976	nan	nan	nan	nan	nan	nan	nan	nan	7.52117641675927e-15	3.2385404709113037e-16	3.636847694465305e-15	1.3590673571970866e-16	5.788422405703703e-15	2.116726312305174e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.569799999765	nan	nan	nan	nan	nan	nan	nan	nan	7.555643402999675e-15	3.2531972519208815e-16	3.654773614684905e-15	1.3642148026423698e-16	5.817152376426135e-15	2.1243385638098811e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.61979999977	nan	nan	nan	nan	nan	nan	nan	nan	7.58958713526398e-15	3.2672312306941596e-16	3.672453911139711e-15	1.3690774440155974e-16	5.8454980866600035e-15	2.1314910788674348e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.66979999977	nan	nan	nan	nan	nan	nan	nan	nan	7.623015474895932e-15	3.280644925377098e-16	3.6898897115492216e-15	1.3736563719893875e-16	5.873460910221783e-15	2.138185279160623e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.71979999977	nan	nan	nan	nan	nan	nan	nan	nan	7.655936233911565e-15	3.293442547615503e-16	3.707082445207576e-15	1.3779484407614178e-16	5.901042743585896e-15	2.144416667949223e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.769799999776	nan	nan	nan	nan	nan	nan	nan	nan	7.68835717553888e-15	3.305629926938534e-16	3.724033585155333e-15	1.38195006116221e-16	5.928245559820027e-15	2.150180149780298e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.81979999978	nan	nan	nan	nan	nan	nan	nan	nan	7.720286014752589e-15	3.3172144229711595e-16	3.740744601403438e-15	1.3856578976400594e-16	5.95507132764883e-15	2.155471006544951e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.86979999978	nan	nan	nan	nan	nan	nan	nan	nan	7.751730418808357e-15	3.328204825341615e-16	3.757216960950715e-15	1.3890688768353063e-16	5.981522011476776e-15	2.1602849079483981e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.919799999785	nan	nan	nan	nan	nan	nan	nan	nan	7.782698007771935e-15	3.3386112410672552e-16	3.77345212779995e-15	1.3921801949886596e-16	6.007599571407578e-15	2.16461792053179e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54403.96979999979	nan	nan	nan	nan	nan	nan	nan	nan	7.81319635504686e-15	3.348444969132784e-16	3.789451562976281e-15	1.3949893242579402e-16	6.033305963265678e-15	2.168466515330088e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54404.01979999979	nan	nan	nan	nan	nan	nan	nan	nan	7.843232740191868e-15	3.3577120633845203e-16	3.805216724543097e-15	1.3974940180111434e-16	6.058643138616021e-15	2.1718275742611453e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54404.069799999794	nan	nan	nan	nan	nan	nan	nan	nan	7.872813245701469e-15	3.366390258422875e-16	3.820749067618579e-15	1.3996923151526742e-16	6.08361304478585e-15	2.174698395303119e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
