FilterSet	Flux	Flux_err	Instr	MJD	Source	band
GeneralFilters	3.538675040820869e-15	1.1991712666316778e-16	LCOGT	56482.96	nan	sdss_r'
GeneralFilters	2.634259438300675e-15	9.161542214695608e-17	P60	56485.942500000005	nan	sdss_r'
GeneralFilters	2.1903977417852915e-15	3.2646149922995134e-17	LCOGT	56488.0828125	nan	sdss_r'
GeneralFilters	1.1321911433618084e-15	2.2941304752309625e-17	LCOGT	56499.23	nan	sdss_r'
GeneralFilters	9.88873792700615e-16	7.407816485862701e-18	P60	56504.9528125	nan	sdss_r'
GeneralFilters	9.367861009164553e-16	7.403094624660885e-18	P60	56506.915	nan	sdss_r'
GeneralFilters	8.912570008539989e-16	7.420002301611964e-18	P60	56508.91703125001	nan	sdss_r'
GeneralFilters	8.52022146875937e-16	7.02818065659528e-18	LCOGT	56510.075	nan	sdss_r'
GeneralFilters	7.915284697607692e-16	9.278230368541686e-18	LCOGT	56512.325	nan	sdss_r'
GeneralFilters	7.633430454892265e-16	1.4764363466028106e-17	LCOGT	56515.08	nan	sdss_r'
GeneralFilters	7.501010152356156e-16	1.3817371327357394e-17	LCOGT	56516.42	nan	sdss_r'
GeneralFilters	7.088275861796454e-16	8.73473139440265e-18	LCOGT	56518.525	nan	sdss_r'
GeneralFilters	6.221853102969635e-16	1.6045507750373634e-17	LCOGT	56522.12	nan	sdss_r'
GeneralFilters	6.308407701478996e-16	1.7430774640716548e-17	LCOGT	56525.12	nan	sdss_r'
GeneralFilters	5.791338287143234e-16	1.9237688718341005e-17	LCOGT	56529.006250000006	nan	sdss_r'
GeneralFilters	5.51975438630977e-16	1.3218092333599769e-17	LCOGT	56531.1	nan	sdss_r'
GeneralFilters	5.320099480797874e-16	6.929636136257514e-18	P60	56533.14	nan	sdss_r'
GeneralFilters	5.04800473108181e-16	7.439014683624218e-18	LCOGT	56536.0	nan	sdss_r'
GeneralFilters	4.843058926899283e-16	3.1541361464153814e-18	P60	56537.16	nan	sdss_r'
GeneralFilters	4.507334126092148e-16	7.057393850156737e-18	LCOGT	56539.73	nan	sdss_r'
GeneralFilters	4.547439262428029e-16	3.75423790834398e-18	P60	56541.052500000005	nan	sdss_r'
GeneralFilters	4.385366063350913e-16	5.61205119921106e-18	P60	56542.1375	nan	sdss_r'
GeneralFilters	4.1449543634295943e-16	8.017052507830872e-18	LCOGT	56544.73	nan	sdss_r'
GeneralFilters	3.610104332585632e-17	2.660023174510625e-18	NOT	56685.24	nan	sdss_r'
GeneralFilters	2.9290025735086876e-17	2.535848401314435e-18	NOT	56698.24	nan	sdss_r'
GeneralFilters	1.3474720117927543e-17	2.6062419327735398e-18	NOT	56752.46	nan	sdss_r'
GeneralFilters	1.0287734631829586e-17	1.677137615798859e-18	NOT	56779.02	nan	sdss_r'
GeneralFilters	7.927198865790021e-18	2.051642812978215e-18	NOT	56812.95	nan	sdss_r'
GeneralFilters	3.8794923102208163e-16	1.5099330783058986e-17	LCOGT	56462.02125	nan	sdss_z'
GeneralFilters	4.898212582301685e-16	2.345938665064138e-17	LCOGT	56463.07	nan	sdss_z'
GeneralFilters	6.792624849558229e-16	2.3148083146927856e-17	LCOGT	56465.09	nan	sdss_z'
GeneralFilters	9.393720402458033e-16	3.114697041568056e-17	LCOGT	56467.09	nan	sdss_z'
GeneralFilters	1.0549639750134942e-15	2.0404812309153197e-17	LCOGT	56469.09	nan	sdss_z'
GeneralFilters	1.3123135998728792e-15	3.505187929581486e-17	LCOGT	56471.09	nan	sdss_z'
GeneralFilters	1.524886886194203e-15	3.089839995117281e-17	LCOGT	56475.07	nan	sdss_z'
GeneralFilters	1.6324415100498377e-15	3.3077752278610616e-17	LCOGT	56476.07	nan	sdss_z'
GeneralFilters	1.7299662461390156e-15	4.46140182849401e-17	LCOGT	56478.25	nan	sdss_z'
GeneralFilters	1.69396088427713e-15	4.463556122200139e-17	LCOGT	56479.955	nan	sdss_z'
GeneralFilters	1.6597307090393717e-15	4.433138579260085e-17	LCOGT	56481.21	nan	sdss_z'
GeneralFilters	1.3578057064993501e-15	4.377048450554732e-17	LCOGT	56485.21	nan	sdss_z'
GeneralFilters	1.2544045758305688e-15	2.541768483669792e-17	LCOGT	56487.21	nan	sdss_z'
GeneralFilters	1.291925973441926e-15	5.949538975399069e-17	LCOGT	56488.23	nan	sdss_z'
GeneralFilters	8.606719111218161e-16	3.4086449375178555e-17	LCOGT	56499.23	nan	sdss_z'
GeneralFilters	7.558535019824805e-16	3.480834012299793e-17	LCOGT	56508.15	nan	sdss_z'
GeneralFilters	6.99570828040943e-16	2.634268879612569e-17	LCOGT	56510.56	nan	sdss_z'
GeneralFilters	7.250874560572615e-16	1.8778965561490597e-17	LCOGT	56512.61	nan	sdss_z'
GeneralFilters	6.90617580381648e-16	1.7174222051908447e-17	LCOGT	56518.05	nan	sdss_z'
GeneralFilters	6.315934675963207e-16	1.9196729683881267e-17	LCOGT	56522.12	nan	sdss_z'
GeneralFilters	6.43928473848325e-16	2.016472142571406e-17	LCOGT	56525.13	nan	sdss_z'
GeneralFilters	6.421516895700089e-16	4.080960585657737e-17	LCOGT	56526.42	nan	sdss_z'
GeneralFilters	5.801337337540908e-16	1.5114996204440818e-17	LCOGT	56528.899999999994	nan	sdss_z'
GeneralFilters	5.899804619121307e-16	2.2822467641490095e-17	LCOGT	56530.01	nan	sdss_z'
SUDO_PTS	5.554158793133967e-17	6.622434059673822e-18	nan	56458.78309999537	SUDO_PTS	Bessell_V
SUDO_PTS	3.3335355187373657e-16	2.2409892971262695e-17	nan	56459.568399975535	SUDO_PTS	Bessell_V
SUDO_PTS	6.111238270173727e-16	3.050947709669763e-17	nan	56460.30099995703	SUDO_PTS	Bessell_V
SUDO_PTS	7.095436256642796e-17	1.6535395432095427e-17	nan	56458.868899993206	SUDO_PTS	Bessell_B
SUDO_PTS	4.2579174910652435e-16	5.4986494276919485e-17	nan	56459.74719997102	SUDO_PTS	Bessell_B
SUDO_PTS	7.806386127512687e-16	7.50439512794943e-17	nan	56460.47399995266	SUDO_PTS	Bessell_B
SUDO_PTS	4.005210177656643e-17	8.186615787476522e-18	nan	56458.757699996015	SUDO_PTS	Bessell_R
