MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
55716.99,18.49,0.06,2.55533678778e-16,1.41213129483e-17,Bessell_B,LTetal,GeneralFilters
55716.99,16.32,0.03,3.39198853713e-16,9.37241068943e-18,Bessell_I,LTetal,GeneralFilters
55716.99,16.65,0.03,4.86032500668e-16,1.3429574289e-17,Bessell_R,LTetal,GeneralFilters
55716.99,18.96,0.22,1.03432871588e-16,2.09583429654e-17,Bessell_U,LTetal,GeneralFilters
55716.99,17.35,0.06,4.19581671233e-16,2.31869400354e-17,Bessell_V,LTetal,GeneralFilters
55716.99,17.96,0.04,3.19587736128e-16,1.17740473138e-17,sdss_g',LTetal,GeneralFilters
55716.99,16.82,0.02,3.71333126257e-16,6.84020896843e-18,sdss_i',LTetal,GeneralFilters
55716.99,16.92,0.04,4.89552635333e-16,1.80357856057e-17,sdss_r',LTetal,GeneralFilters
55716.99,19.74,0.17,1.10740988326e-16,1.73393573254e-17,sdss_u',LTetal,GeneralFilters
55716.99,16.79,0.03,2.63195148866e-16,7.27235071594e-18,sdss_z',LTetal,GeneralFilters
55724.31,18.6,0.09,2.30912874346e-16,1.9141075521e-17,Bessell_B,LTetal,GeneralFilters
55724.31,16.45,0.06,3.00922302347e-16,1.66295809808e-17,Bessell_I,LTetal,GeneralFilters
55724.31,16.83,0.05,4.11780058729e-16,1.89631724965e-17,Bessell_R,LTetal,GeneralFilters
55724.31,17.44,0.08,3.86203769601e-16,2.84565453678e-17,Bessell_V,LTetal,GeneralFilters
55728.89,18.76,0.14,1.99272856964e-16,2.56951917535e-17,Bessell_B,LTetal,GeneralFilters
55728.89,16.58,0.02,2.66965029684e-16,4.91767758161e-18,Bessell_I,LTetal,GeneralFilters
55728.89,16.94,0.03,3.7210483336e-16,1.02816365079e-17,Bessell_R,LTetal,GeneralFilters
55728.89,19.05,0.36,9.52047423581e-17,3.15672509572e-17,Bessell_U,LTetal,GeneralFilters
55728.89,17.55,0.14,3.4899283315e-16,4.50007989297e-17,Bessell_V,LTetal,GeneralFilters
55728.9,18.21,0.08,2.53857562278e-16,1.87049164367e-17,sdss_g',LTetal,GeneralFilters
55728.9,17.16,0.04,2.71496161598e-16,1.0002288232e-17,sdss_i',LTetal,GeneralFilters
55728.9,17.22,0.08,3.7136365096e-16,2.7363085017e-17,sdss_r',LTetal,GeneralFilters
55728.9,19.97,0.24,8.96000795257e-17,1.98059335149e-17,sdss_u',LTetal,GeneralFilters
55728.9,16.97,0.05,2.22986145388e-16,1.02688914863e-17,sdss_z',LTetal,GeneralFilters
55736.0,18.89,0.06,1.76786113092e-16,9.76956164768e-18,Bessell_B,LTetal,GeneralFilters
55736.0,16.75,0.04,2.28272910387e-16,8.40988480946e-18,Bessell_I,LTetal,GeneralFilters
55736.0,17.15,0.04,3.06665775953e-16,1.12979847078e-17,Bessell_R,LTetal,GeneralFilters
55736.0,19.24,0.07,7.99205717365e-17,5.15266967892e-18,Bessell_U,LTetal,GeneralFilters
55736.0,17.63,0.05,3.24202611223e-16,1.49300819943e-17,Bessell_V,LTetal,GeneralFilters
55738.92,18.92,0.09,1.71968200712e-16,1.42549709555e-17,Bessell_B,LTetal,GeneralFilters
55738.92,16.8,0.09,2.17998937009e-16,1.80705996952e-17,Bessell_I,LTetal,GeneralFilters
55738.92,17.21,0.1,2.90178553325e-16,2.67264324478e-17,Bessell_R,LTetal,GeneralFilters
55738.92,19.3,0.16,7.56238149347e-17,1.11443372124e-17,Bessell_U,LTetal,GeneralFilters
55738.92,17.69,0.09,3.06772558551e-16,2.54293171294e-17,Bessell_V,LTetal,GeneralFilters
55738.92,18.37,0.06,2.19073630435e-16,1.2106456217e-17,sdss_g',LTetal,GeneralFilters
55738.92,17.3,0.05,2.38651239278e-16,1.09902957197e-17,sdss_i',LTetal,GeneralFilters
55738.92,17.35,0.06,3.29457495602e-16,1.82064940355e-17,sdss_r',LTetal,GeneralFilters
55738.92,19.99,0.31,8.79646937688e-17,2.51157278801e-17,sdss_u',LTetal,GeneralFilters
55738.92,17.02,0.03,2.12950115631e-16,5.88402914165e-18,sdss_z',LTetal,GeneralFilters
55741.27,18.82,0.1,1.88559382511e-16,1.73669609326e-17,Bessell_B,LTetal,GeneralFilters
