MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err
54323.766203571664	5.083931836684785e-15	7.035770541941099e-16	1.2865017749581211e-15	3.860587123242871e-17	2.198846246783275e-15	1.4170586480746402e-16	nan	nan	3.613482253531839e-15	1.5854628938330215e-16	nan	nan	nan	nan
54323.81620357167	5.194811022168077e-15	7.026179341417637e-16	1.3141702894463028e-15	3.84944605259053e-17	2.2558384846084748e-15	1.4091964430116027e-16	nan	nan	3.6935356940902845e-15	1.6023998008082e-16	nan	nan	nan	nan
54323.86620357167	5.306623075726152e-15	7.015258220266667e-16	1.3420215793217914e-15	3.837580447361299e-17	2.3130988161748666e-15	1.40151566763006e-16	nan	nan	3.774140298990456e-15	1.6188694005180779e-16	nan	nan	nan	nan
54323.91620357167	5.419366659308072e-15	7.002985636551668e-16	1.3700572839659624e-15	3.825061840036112e-17	2.370631550652969e-15	1.3939977298468943e-16	nan	nan	3.855300621311157e-15	1.6348848000227744e-16	nan	nan	nan	nan
54323.966203571676	5.533040514747284e-15	6.989368680032399e-16	1.3982790431609397e-15	3.811975965649729e-17	2.4284409977017262e-15	1.386625584532295e-16	nan	nan	3.937021215182017e-15	1.6504600150463988e-16	nan	nan	nan	nan
54324.01620357168	5.64764346335728e-15	6.974443214424857e-16	1.4266884971047805e-15	3.798421596052237e-17	2.486531467460672e-15	1.3793837295037556e-16	nan	nan	4.019306626995589e-15	1.6656097786703571e-16	nan	nan	nan	nan
54324.06620357168	5.763174405527942e-15	6.958273671015015e-16	1.4552872864118249e-15	3.7845092103972077e-17	2.5449072705081395e-15	1.372258193052313e-16	nan	nan	4.102160475575498e-15	1.6803413551249876e-16	nan	nan	nan	nan
54324.116203571684	5.879632320330587e-15	6.940952482552367e-16	1.484077052111124e-15	3.770359481303731e-17	2.603572717934394e-15	1.3652365136648863e-16	nan	nan	4.185584638037241e-15	1.694647344745754e-16	nan	nan	nan	nan
54324.16620357169	5.997016265125145e-15	6.922599140136753e-16	1.5130594077143218e-15	3.7560974303526186e-17	2.662532121320738e-15	1.3583077116351426e-16	nan	nan	4.26958080069035e-15	1.7085193252632737e-16	nan	nan	nan	nan
54324.21620357169	6.115325375176121e-15	6.903358849938611e-16	1.5422352301155173e-15	3.741745925459706e-17	2.7217897927342878e-15	1.3514622535426863e-16	nan	nan	4.354150650843255e-15	1.7219495869800326e-16	nan	nan	nan	nan
