MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56343.068299983315	nan	nan	1.2612863163865922e-15	2.477235351697731e-17	2.3695584895690856e-15	4.4957893734688516e-17	4.03758591029368e-15	7.231831857463985e-17	5.414425858928101e-15	5.613432048432649e-17	1.6196934246410372e-15	1.7160492569350983e-17	2.884629879465927e-15	3.5389224516153925e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56343.11829998332	nan	nan	1.2723347251961454e-15	2.480535998203905e-17	2.3926884091308107e-15	4.4697313852428727e-17	4.0759339005003524e-15	7.204495306025653e-17	5.4653585094254336e-15	5.630222024743669e-17	1.6385422784463077e-15	1.7267090180607937e-17	2.912435503187671e-15	3.5551570074420226e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56343.16829998332	nan	nan	1.2833263583316224e-15	2.4840473116768608e-17	2.4155684941276293e-15	4.4426384296682215e-17	4.113947341536163e-15	7.174931290216098e-17	5.515456107953636e-15	5.64669405153755e-17	1.657354135566134e-15	1.7375262294307718e-17	2.940020512727864e-15	3.57059356804411e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56343.218299983324	nan	nan	1.2942584686513186e-15	2.487760355756499e-17	2.4381915594270768e-15	4.414721361951203e-17	4.151614390449204e-15	7.143156189464145e-17	5.5647035273170044e-15	5.663125854581661e-17	1.6761269453399374e-15	1.748547898685369e-17	2.967381251067118e-15	3.585226602035117e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56343.26829998333	nan	nan	1.305128382461196e-15	2.4916668549571674e-17	2.460550416091755e-15	4.3862181495789664e-17	4.188923193429349e-15	7.109205810040721e-17	5.613085818100066e-15	5.679803801342699e-17	1.6948586570296679e-15	1.7598264135722507e-17	2.9945140613904295e-15	3.599058314522076e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56343.31829998333	nan	nan	1.315933488479267e-15	2.49575946014974e-17	2.482637894461505e-15	4.3573908101254914e-17	4.225861884984971e-15	7.073135374593427e-17	5.660590057618751e-15	5.696890959780739e-17	1.7135470482462823e-15	1.7714147743525843e-17	3.021415276773669e-15	3.612097475058957e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56343.36829998333	nan	nan	1.3266711752649442e-15	2.500033857151491e-17	2.504446997850452e-15	4.3285079761284615e-17	4.262418587578439e-15	7.035019487818262e-17	5.707214221316385e-15	5.714234837209774e-17	1.7321869481826769e-15	1.7833063213759386e-17	3.0480810599625897e-15	3.624346583356928e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56343.418299983336	nan	nan	1.3373388290589593e-15	2.5044887111517605e-17	2.52597080703281e-15	4.299854408156658e-17	4.298581411261628e-15	6.994952098171667e-17	5.752964924605234e-15	5.731470667500741e-17	1.7507707044680144e-15	1.7954445744447144e-17	3.0745074302256825e-15	3.635803705796923e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56343.46829998334	nan	nan	1.347933833702568e-15	2.509125524875361e-17	2.5472023990031646e-15	4.271738724912128e-17	4.33433849663261e-15	6.953044403755999e-17	5.797849025582278e-15	5.748256990495792e-17	1.769290587301044e-15	1.807775166716139e-17	3.1006904023035557e-15	3.6464730995600755e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56343.51829998334	nan	nan	1.3584535705566429e-15	2.5139484850183423e-17	2.5681348464407047e-15	4.2444919149594054e-17	4.369678264028765e-15	6.909413039680437e-17	5.8418733550508616e-15	5.764291009251485e-17	1.7877388667796816e-15	1.8202481072190393e-17	3.1266259908896533e-15	3.6563654214009825e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
