MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55268.70000000013	nan	nan	nan	nan	1.1458858153352143e-16	2.5305470829104044e-17	1.50507706475045e-16	1.0958560096465796e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.75000000013	nan	nan	nan	nan	1.1869971645689498e-16	2.607667934588852e-17	1.5732232617154885e-16	1.121675162920185e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.800000000134	nan	nan	nan	nan	1.2276463671615775e-16	2.6815531120530192e-17	1.6417655435356529e-16	1.1464812435805013e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.85000000014	nan	nan	nan	nan	1.2678725325090894e-16	2.7521224692346758e-17	1.7107028598688002e-16	1.1702964673131252e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.90000000014	nan	nan	nan	nan	1.3077147524902434e-16	2.819302704482165e-17	1.7800341628313424e-16	1.1931470439058255e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.95000000014	nan	nan	nan	nan	1.3472121030236366e-16	2.883027273476249e-17	1.8497584069626536e-16	1.2150635023909552e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.000000000146	nan	nan	nan	nan	1.3864036456235415e-16	2.943236309546769e-17	1.9198745492377104e-16	1.2360809251507165e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.05000000015	nan	nan	nan	nan	1.4253284289545918e-16	2.999876553875278e-17	1.9903815490541192e-16	1.2562391024250567e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.10000000015	nan	nan	nan	nan	1.4640254903899784e-16	3.0529012973441484e-17	2.0612783682171467e-16	1.2755826147655361e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.150000000154	nan	nan	nan	nan	1.502533857561836e-16	3.1022703352885864e-17	2.1325639709457083e-16	1.2941608477158371e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.20000000016	nan	nan	nan	nan	1.5408925499196931e-16	3.147949936057515e-17	2.20423732385507e-16	1.3120279404891305e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55269.25000000016	nan	nan	nan	nan	1.5791405802827115e-16	3.189912824149746e-17	2.2762973959551853e-16	1.3292426686150918e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
