MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
53551.90180000021	1.3031065382200627e-14	1.55952198813432e-16	2.1102179134227316e-15	3.329145442773774e-17	3.515285531408055e-15	4.3938704494080296e-17	2.0938020128287713e-14	6.034710136928322e-16	6.064543031771708e-15	8.826880251635199e-17	nan	nan	nan	nan	5.805740928551868e-14	2.3069420659118155e-15	4.595386734411988e-14	1.352790147875104e-15	4.426292740453677e-14	1.7868907408328407e-15
53551.95180000021	1.3061651049103065e-14	1.5646093739245406e-16	2.114368938763276e-15	3.252889367150345e-17	3.5463544377704165e-15	4.381193644536533e-17	2.0869021414512238e-14	5.968726235478501e-16	6.104182739053032e-15	8.75246694084248e-17	nan	nan	nan	nan	5.750601459707483e-14	2.284382268986958e-15	4.557035958800237e-14	1.3390051161131754e-15	4.374496757136589e-14	1.7585738836652722e-15
53552.00180000022	1.3089878457736292e-14	1.5694640566021105e-16	2.1185174275144433e-15	3.1836814117975846e-17	3.576763725167826e-15	4.3683424035984125e-17	2.079991901264843e-14	5.904015177277543e-16	6.142054114602648e-15	8.682273108146813e-17	nan	nan	nan	nan	5.695126879771196e-14	2.2690346694708282e-15	4.5185236793886366e-14	1.3291485858527259e-15	4.322205822081817e-14	1.7386593107668695e-15
53552.05180000022	1.3115799788433254e-14	1.5740281925032245e-16	2.122658142379781e-15	3.12128741660563e-17	3.606518837493428e-15	4.3553367065312057e-17	2.0730711983459018e-14	5.840580016881632e-16	6.178195303198195e-15	8.616042413388468e-17	nan	nan	nan	nan	5.639330379541181e-14	2.2605239234653342e-15	4.4798567488287446e-14	1.3230266791101274e-15	4.2694501385200884e-14	1.7263832385432288e-15
53552.10180000022	1.3139467045756982e-14	1.5782481913549245e-16	2.126785845841193e-15	3.065446167755864e-17	3.6356252154977195e-15	4.3421987471860676e-17	2.0661399387611783e-14	5.778423630821445e-16	6.2126449946619074e-15	8.553504059444406e-17	nan	nan	nan	nan	5.5832251444620446e-14	2.2584171286664305e-15	4.4410420184849614e-14	1.3204160925953427e-15	4.216259890016836e-14	1.7208964873016938e-15
53552.151800000225	1.3160932066735214e-14	1.5820764310331366e-16	2.1308953000818728e-15	3.0158725195509686e-17	3.66408830406626e-15	4.328953230465863e-17	2.0591980285674813e-14	5.717548701681386e-16	6.245442409454115e-15	8.494377613598343e-17	nan	nan	nan	nan	5.5268243548342543e-14	2.262235523811999e-15	4.402086338484641e-14	1.3210695773555502e-15	4.1626652416641474e-14	1.7212976224376234e-15
53552.20180000023	1.318024652448755e-14	1.5854727036039796e-16	2.1349812669123168e-15	2.972261305568974e-17	3.691913543618743e-15	4.3156275353938925e-17	2.0522453738107012e-14	5.657957701228692e-16	6.276626953379503e-15	8.438384233625734e-17	nan	nan	nan	nan	5.4701411860218954e-14	2.2714673776610407e-15	4.362996557775357e-14	1.324722060531094e-15	4.1086963412706696e-14	1.7266657861787397e-15
53552.25180000023	1.31974619302841e-14	1.5884054121149322e-16	2.1390385076930737e-15	2.9342918921879995e-17	3.719106378544519e-15	4.302251967004594e-17	2.0452818805279446e-14	5.599652872675612e-16	6.306237984652876e-15	8.385255729771423e-17	nan	nan	nan	nan	5.413188808661226e-14	2.2855810658197422e-15	4.323779524177865e-14	1.3310969594272472e-15	4.0543833205528016e-14	1.7360900613819886e-15
53552.301800000234	1.3212629638250986e-14	1.590852536257041e-16	2.1430617832595254e-15	2.9016331860102906e-17	3.745672251578916e-15	4.2888598630114255e-17	2.0383074547453996e-14	5.542636212076619e-16	6.334314814370531e-15	8.334739377494687e-17	nan	nan	nan	nan	5.355980388869182e-14	2.304037456898396e-15	4.2844420844425746e-14	1.3399122782791955e-15	3.999756296323708e-14	1.7486933488951455e-15
53552.35180000024	1.3225800851154185e-14	1.5928023826291054e-16	2.147045853846721e-15	2.873948881947598e-17	3.771616603141625e-15	4.275487744628176e-17	2.031322002478929e-14	5.486909448949806e-16	6.360896707709071e-15	8.286602186035086e-17	nan	nan	nan	nan	5.2985290884522734e-14	2.326300941851462e-15	4.24499108430271e-14	1.3508861604902373e-15	3.944845371682835e-14	1.7636499408945988e-15
