MJD,Mag,Mag_err,band,Instr
56499.211,16.949,0.023,Bessell_V,LCOGT
56499.214,16.269,0.016,Bessell_R,LCOGT
56499.216,15.823,0.018,Bessell_I,LCOGT
56499.226,17.537,0.02,sdss_g',LCOGT
56499.229,16.608,0.022,sdss_r',LCOGT
56499.232,16.381,0.024,sdss_i',LCOGT
56499.234,15.84,0.043,sdss_z',LCOGT
56503.736,18.244,0.035,Bessell_B,LCOGT
56503.74,17.064,0.023,Bessell_V,LCOGT
56503.745,17.656,0.013,sdss_g',LCOGT
56503.795,16.67,0.024,sdss_r',LCOGT
56503.797,16.474,0.02,sdss_i',LCOGT
56504.192,16.503,0.01,sdss_i',P60
56504.193,16.733,0.01,sdss_r',P60
56504.194,17.694,0.01,sdss_g',P60
56504.449,16.73,0.028,sdss_r',LCOGT
56504.451,16.498,0.032,sdss_i',LCOGT
56505.177,16.523,0.01,sdss_i',P60
56505.178,16.76,0.01,sdss_r',P60
56505.179,17.736,0.01,sdss_g',P60
56506.181,16.524,0.01,sdss_i',P60
56506.182,16.794,0.01,sdss_r',P60
56506.183,17.743,0.01,sdss_g',P60
56506.42,17.738,0.022,sdss_g',LCOGT
56506.425,16.616,0.035,sdss_i',LCOGT
56507.164,16.574,0.01,sdss_i',P60
56507.165,16.82,0.01,sdss_r',P60
56507.166,17.782,0.01,sdss_g',P60
56508.02,18.379,0.028,Bessell_B,LCOGT
56508.027,17.125,0.015,Bessell_V,LCOGT
56508.03,17.731,0.008,sdss_g',LCOGT
56508.036,16.859,0.01,sdss_r',LCOGT
56508.04,16.576,0.009,sdss_i',LCOGT
56508.149,15.98,0.05,Bessell_I,LCOGT
56508.152,15.981,0.05,sdss_z',LCOGT
56508.193,16.61,0.01,sdss_i',P60
56508.194,16.855,0.01,sdss_r',P60
56508.195,17.793,0.01,sdss_g',P60
56508.196,16.581,0.01,sdss_i',P60
56508.197,16.851,0.01,sdss_r',P60
56508.198,17.788,0.01,sdss_g',P60
56509.161,16.655,0.01,sdss_i',P60
56509.162,16.876,0.01,sdss_r',P60
56509.163,17.813,0.01,sdss_g',P60
56509.966,18.377,0.028,Bessell_B,LCOGT
56509.972,17.253,0.011,Bessell_V,LCOGT
56509.976,17.774,0.01,sdss_g',LCOGT
56509.982,16.913,0.009,sdss_r',LCOGT
56509.985,16.675,0.016,sdss_i',LCOGT
56510.139,19.026,0.492,Bessell_U,LCOGT
56510.145,16.558,0.049,Bessell_R,LCOGT
56510.147,15.923,0.129,Bessell_I,LCOGT
56510.149,16.044,0.071,sdss_z',LCOGT
56510.162,18.447,0.065,Bessell_B,LCOGT
56510.165,17.297,0.023,Bessell_V,LCOGT
56510.167,17.841,0.016,sdss_g',LCOGT
56510.171,16.931,0.018,sdss_r',LCOGT
56510.173,16.692,0.026,sdss_i',LCOGT
56510.964,16.622,0.018,Bessell_R,LCOGT
