MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_V	swift_V_err
55965.550000000265	1.0323791897145021e-15	2.0445337944943287e-17	4.518152244869248e-16	1.3790937027825064e-17	7.222793389719606e-16	1.4714415998600863e-17	1.036241333050164e-15	1.9136566190481613e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.60000000027	1.0445379045445894e-15	2.0401217420276055e-17	4.555293538775148e-16	1.370926618174255e-17	7.305123345284781e-16	1.4688764725016957e-17	1.0484728455887404e-15	1.9092558410485108e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.65000000027	1.0566681300350773e-15	2.033806460607347e-17	4.592001998569295e-16	1.362573153952989e-17	7.387197734628222e-16	1.465525137719313e-17	1.0606657083882802e-15	1.9042205557299902e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.70000000027	1.0687706536626582e-15	2.0257814307233666e-17	4.628283992372828e-16	1.3540469313944527e-17	7.469025012485522e-16	1.4614584950316975e-17	1.072821136391377e-15	1.898593966527402e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.75000000028	1.0808462620810548e-15	2.016355658105264e-17	4.66414588468088e-16	1.3453660533619288e-17	7.55061363023566e-16	1.456790136441259e-17	1.0849403441727835e-15	1.8924468840278297e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.80000000028	1.0928957411383163e-15	2.0059489966873055e-17	4.699594036415743e-16	1.3365530069152445e-17	7.631972036012696e-16	1.451674444303786e-17	1.0970245459497836e-15	1.8858766864728452e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.85000000028	1.1049198758937526e-15	1.9950843445648214e-17	4.734634804976594e-16	1.3276344996919072e-17	7.713108674791076e-16	1.4463036745788365e-17	1.1090749555946213e-15	1.8790057315127333e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.900000000285	1.116919450635269e-15	1.9843757377582482e-17	4.769274544295338e-16	1.3186412241188159e-17	7.794031988503295e-16	1.4409038360650613e-17	1.1210927866432639e-15	1.871979152411021e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.95000000029	1.1288952488967517e-15	1.9745112287517103e-17	4.803519604887445e-16	1.3096075426676768e-17	7.87475041613567e-16	1.4357291512661788e-17	1.1330792523083173e-15	1.8649619609577527e-17	nan	nan	nan	nan	nan	nan	nan	nan
55966.00000000029	1.1408480534749608e-15	1.9662294576747822e-17	4.837376333901789e-16	1.3005710868010005e-17	7.955272393822094e-16	1.431054885019745e-17	1.1450355654894197e-15	1.8581353745814912e-17	nan	nan	nan	nan	nan	nan	nan	nan
