MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56452.10000000018	1.9147783829755742e-14	2.305811746438236e-16	3.763169056691575e-15	4.482187158460484e-17	8.294141078150545e-15	7.355913355870067e-17	2.7678964521353126e-14	6.255366336132386e-16	1.076067474260857e-14	6.981293643618244e-17	nan	nan	nan	nan	nan	nan	3.0086213452008086e-14	7.15657352661551e-16	nan	nan	nan	nan
56452.15000000018	1.9245533168331327e-14	2.311210981891686e-16	3.805864779231773e-15	4.5059122886057e-17	8.325336405927704e-15	7.367944836932823e-17	2.776822400732226e-14	6.280160406203062e-16	1.0799878442204526e-14	6.981015563282967e-17	nan	nan	nan	nan	nan	nan	3.011902225382302e-14	7.164378071444253e-16	nan	nan	nan	nan
56452.200000000186	1.9331083375139486e-14	2.3153699190345836e-16	3.846823400953686e-15	4.5269795121365764e-17	8.351633783199935e-15	7.376021140821079e-17	2.7846901854578025e-14	6.302668356841008e-16	1.08332882528514e-14	6.974568192961799e-17	nan	nan	nan	nan	nan	nan	3.0134649389313064e-14	7.169026117786065e-16	nan	nan	nan	nan
56452.25000000019	1.9404719900907373e-14	2.318328972552246e-16	3.886040915990261e-15	4.545431903422903e-17	8.373226353828611e-15	7.38013860165091e-17	2.7914962214129617e-14	6.322779155733366e-16	1.0861124835486253e-14	6.961927900248728e-17	nan	nan	nan	nan	nan	nan	3.0133695738576965e-14	7.1706297465346555e-16	nan	nan	nan	nan
56452.30000000019	1.9466734846619318e-14	2.3201268209186295e-16	3.923514782652366e-15	4.5613143023404266e-17	8.390301839973697e-15	7.380315865651896e-17	2.797238728202663e-14	6.340411476677154e-16	1.088359854397938e-14	6.943111104749371e-17	nan	nan	nan	nan	nan	nan	3.0116744893960416e-14	7.169296969694184e-16	nan	nan	nan	nan
56452.350000000195	1.9517426100535035e-14	2.3208005603907403e-16	3.959243894178989e-15	4.574673069091787e-17	8.40304247303414e-15	7.376595517858688e-17	2.8019176659384452e-14	6.355510175425473e-16	1.0900909243886415e-14	6.918193723573688e-17	nan	nan	nan	nan	nan	nan	3.0084364378536344e-14	7.165131991912645e-16	nan	nan	nan	nan
56452.4000000002	1.9557096522459955e-14	2.320385854439141e-16	3.993228550349821e-15	4.5855558690807365e-17	8.411624972017865e-15	7.369044504469597e-17	2.8055346719218296e-14	6.36804311127091e-16	1.0913246088501433e-14	6.887334359553567e-17	nan	nan	nan	nan	nan	nan	3.003710673182015e-14	7.158235444918122e-16	nan	nan	nan	nan
56452.4500000002	1.9586053172467728e-14	2.3189170766977134e-16	4.025470429901808e-15	4.594011483771563e-17	8.416220523475406e-15	7.35775471835519e-17	2.808092998045095e-14	6.377998289202178e-16	1.0920787325698696e-14	6.850801093296251e-17	nan	nan	nan	nan	nan	nan	2.9975510472653985e-14	7.14870459842627e-16	nan	nan	nan	nan
56452.500000000204	1.9604606581584e-14	2.3164274459174644e-16	4.055972563667905e-15	4.600089644209383e-17	8.416994793227003e-15	7.342842642001108e-17	2.8095974489317454e-14	6.385381296223011e-16	1.0923700066936789e-14	6.80900147034139e-17	nan	nan	nan	nan	nan	nan	2.990010094945204e-14	7.136633550821533e-16	nan	nan	nan	nan
56452.55000000021	1.9613070062051844e-14	2.3129491517115867e-16	4.084739308375273e-15	4.603840884159574e-17	8.414107932095856e-15	7.324449076570484e-17	2.8100543208281078e-14	6.390213005354313e-16	1.0922140081460807e-14	6.762514296581013e-17	nan	nan	nan	nan	nan	nan	2.981139108799986e-14	7.122113402597117e-16	nan	nan	nan	nan
56452.60000000021	1.9611759055070746e-14	2.3085134699438266e-16	4.1117763210387174e-15	4.6053164105023585e-17	8.407714620862028e-15	7.302738342373262e-17	2.809471341249048e-14	6.392527521588846e-16	1.091625155177569e-14	6.712121685851773e-17	nan	nan	nan	nan	nan	nan	2.9709882046778445e-14	7.105232415061788e-16	nan	nan	nan	nan
