MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56193.76000000026	2.754071253133925e-16	5.819353913834671e-17	1.034180910916431e-16	9.699350368814255e-18	1.4826829473171307e-16	3.367616846486374e-17	1.8337581481084348e-16	3.9455754111183914e-17	5.306930876784282e-15	3.8104139838326485e-16	1.3732824644624941e-14	9.34275353877861e-16	9.329313362158218e-15	5.973380154224891e-16	1.3726943263237201e-14	1.1600995769938587e-15
56193.81000000026	2.834630860939538e-16	5.368299006398983e-17	1.0396694423392455e-16	9.80305073830562e-18	1.543686459460406e-16	3.07944031762394e-17	1.8863483624799596e-16	3.583017362542645e-17	5.5624308797652e-15	3.9392942185821115e-16	1.4408366435574143e-14	9.6605798368296e-16	9.79304039489397e-15	6.178182056698e-16	1.4431773883396287e-14	1.1988938629789448e-15
56193.86000000026	2.9544723111493237e-16	4.806229955938608e-17	1.0540321412453443e-16	9.581074781917166e-18	1.6337129447077333e-16	2.734956274428469e-17	1.974330275286088e-16	3.1330908329500664e-17	5.818184369455367e-15	4.062626690400023e-16	1.5083938763171494e-14	9.966020357747946e-16	1.0256732814371288e-14	6.374456621831392e-16	1.5137242425065525e-14	1.235855909685456e-15
56193.910000000265	3.117483506053418e-16	4.1467301045775145e-17	1.0787202684290594e-16	9.018193931211431e-18	1.7554932027813393e-16	2.345501457712628e-17	2.1017548413143926e-16	2.6051383255035628e-17	6.074173846597876e-15	4.1804562472342794e-16	1.5759487547006456e-14	1.025919477204735e-15	1.0720353688296575e-14	6.562271282510084e-16	1.5843252368853294e-14	1.2709988648519939e-15
56193.96000000027	3.327554680031142e-16	3.41866947358252e-17	1.1151862099232296e-16	8.179987992232408e-18	1.9117616588334446e-16	1.9287549092124604e-17	2.2726767606601004e-16	2.0151007059010344e-17	6.33038181263895e-15	4.2928302708298904e-16	1.6434958706668487e-14	1.0540227718495546e-15	1.1183866084038688e-14	6.741696358284038e-16	1.654970719933266e-14	1.3043365455225005e-15
56194.01000000027	3.588578609733619e-16	2.6905589494114387e-17	1.1648836356579308e-16	7.249904677585255e-18	2.1052566756530702e-16	1.5156682442099812e-17	2.4911548639269292e-16	1.3976227652542775e-17	6.5867907697724725e-15	4.3997986600638045e-16	1.7110298161524842e-14	1.0809248950006742e-15	1.1647233069119911e-14	6.912805114331418e-16	1.725651040433207e-14	1.3358834569873018e-15
56194.060000000274	3.9044508244133464e-16	2.1396093288414605e-17	1.2292676582119673e-16	6.595547798755142e-18	2.338720866363791e-16	1.1680000661244542e-17	2.7612524976919777e-16	8.705080993527859e-18	6.8433832207313914e-15	4.5014138372468575e-16	1.778545183068884e-14	1.1066393487821696e-15	1.2110417710724992e-14	7.07567383158333e-16	1.7963565474115096e-14	1.3656548130947912e-15
56194.11000000028	4.27879693157954e-16	2.109148184928999e-17	1.3098078124345738e-16	6.708061178770737e-18	2.614412651293454e-16	9.972078385041967e-18	3.0874479059078744e-16	8.346397875604354e-18	7.100141668907254e-15	4.597730772872293e-16	1.8460365633093903e-14	1.131180178584177e-15	1.2573383075716474e-14	7.230381882406084e-16	1.8670775900654887e-14	1.393666557992057e-15
56194.16000000028	4.711162515576748e-16	2.6980810477108664e-17	1.4081672324343503e-16	7.565841988285317e-18	2.9272819736194294e-16	1.0522798352299939e-17	3.480359450661538e-16	1.31157845775528e-17	7.357048618127545e-15	4.688807024898165e-16	1.913498548722907e-14	1.1545619902304959e-15	1.3036092230880191e-14	7.377011819290317e-16	1.9378045176865348e-14	1.419935389389445e-15
56194.21000000028	5.197980923007579e-16	3.658666439186503e-17	1.5261586724545764e-16	8.743396508796827e-18	3.270423107332166e-16	1.261564732824912e-17	3.9520673921911503e-16	1.9296294773772382e-17	7.61408657270491e-15	4.774702791285008e-16	1.9809257311022565e-14	1.1767999681081178e-15	1.3498508242403602e-14	7.515649467372459e-16	2.008527679584176e-14	1.4444787834056569e-15
56194.260000000286	5.736690970558103e-16	4.812556955178394e-17	1.6655995881814367e-16	9.953062234692592e-18	3.649792890337869e-16	1.5249586507477906e-17	4.501712861188595e-16	2.56189814412898e-17	7.87123803735981e-15	4.855480972868616e-16	2.04831270219688e-14	1.1979098942704638e-15	1.3960594176351427e-14	7.646384028334073e-16	2.0792374250070296e-14	1.4673150211307657e-15
56194.31000000029	6.326141631583409e-16	6.072368298238783e-17	1.8280472128739817e-16	1.1050980778649831e-17	4.0700800838541136e-16	1.782085724253148e-17	5.125177381219123e-16	3.165045168319196e-17	8.128485517150207e-15	4.931207246439652e-16	2.1156540536699825e-14	1.2179081681992972e-15	1.442231309809796e-14	7.769308188142869e-16	2.1499241030706538e-14	1.4884632169765164e-15
56194.36000000029	6.965278674318162e-16	7.397571210333563e-17	2.0144754768009551e-16	1.195828149279096e-17	4.531070240638154e-16	2.0040966264572612e-17	5.81834948355786e-16	3.7184070621389385e-17	8.385811517391875e-15	5.001950146657348e-16	2.1829443771350382e-14	1.2368118276872814e-15	1.4883628072633922e-14	7.884518235263744e-16	2.2205780626783636e-14	1.5079433489633058e-15
56194.410000000295	7.653050548982371e-16	8.766564865733905e-17	2.2257816618083494e-16	1.2657892465874818e-17	5.031916539660137e-16	2.1826144736862203e-17	6.577124314982452e-16	4.209171049203024e-17	8.64319854366075e-15	5.067781156301674e-16	2.2501782641028845e-14	1.254638570457212e-15	1.534450216447441e-14	7.992114185344765e-16	2.2911896524478653e-14	1.5257762910519886e-15
56194.4600000003	8.388408330420566e-16	1.0165896036126206e-16	2.462865762471763e-16	1.3185260522861588e-17	5.571776702288587e-16	2.3231269075772763e-17	7.397403245833456e-16	4.6284432871268615e-17	8.900629101687453e-15	5.128774804657576e-16	2.3173503059991813e-14	1.2714067766498705e-15	1.5804898437398063e-14	8.092199914021649e-16	2.3617492206304486e-14	1.5419838476789211e-15
56194.5100000003	9.170305660900972e-16	1.1586085880654554e-16	2.7266305838011995e-16	1.3621249024312448e-17	6.149812894303913e-16	2.4419456994815516e-17	8.275093478781344e-16	4.9699095370435986e-17	9.158085697347919e-15	5.185008773758475e-16	2.3844550941543593e-14	1.2871355322856285e-15	1.626477995478461e-14	8.184883297903187e-16	2.432247115040733e-14	1.5565887906135363e-15
56194.5600000003	9.997698692970225e-16	1.3019835184304625e-16	3.0179818392279064e-16	1.4083460616507054e-17	6.765191628385231e-16	2.5639106585327847e-17	9.206107657779455e-16	5.2293088851123044e-17	9.415550836527458e-15	5.236564011937669e-16	2.4514872197750504e-14	1.3018446533803629e-15	1.6724109778970463e-14	8.270276362892772e-16	2.5026736829764008e-14	1.5696148983055688e-15
56194.610000000306	1.0869546032543183e-15	1.4461168996428005e-16	3.3377466910853156e-16	1.4703652091474238e-17	7.417069687720892e-16	2.7177078618518917e-17	1.0186363477561774e-15	5.404241949081001e-17	9.67300702519107e-15	5.283524855304346e-16	2.5184412739599597e-14	1.315554711117147e-15	1.7182850971923816e-14	8.348495443169307e-16	2.5730192711415835e-14	1.5810869978880397e-15
