MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55992.326499985626	1.6913288237016888e-15	1.2399252435408415e-16	7.591657680273631e-16	3.5273298280986005e-17	1.2875728059004132e-15	5.904212377341204e-17	1.871679528111471e-15	8.790167787965474e-17	7.334906304806532e-16	3.277097930883459e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.37649998563	1.7364113321340627e-15	1.258259699687776e-16	7.777345629318403e-16	3.57577051206166e-17	1.31936386597323e-15	5.983160663202011e-17	1.9182646309565712e-15	8.905676145596594e-17	7.515867499556316e-16	3.321109047165505e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.42649998563	1.7818978592552873e-15	1.278553114548122e-16	7.964521777389014e-16	3.623714152494582e-17	1.3514320840237473e-15	6.061544335572548e-17	1.9652742407711515e-15	9.02058401880913e-17	7.698409339329078e-16	3.364837020567334e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.476499985634	1.8277841359947835e-15	1.3002765165049188e-16	8.153192389206734e-16	3.671193445361072e-17	1.38377884173442e-15	6.139444888746376e-17	2.012710340260284e-15	9.135031293901245e-17	7.882540224653941e-16	3.408330010555582e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.52649998564	1.8740659950307337e-15	1.322885775857988e-16	8.343363731844814e-16	3.718242854895978e-17	1.4164055213339678e-15	6.216946931375537e-17	2.060574913229601e-15	9.249163326352512e-17	8.068268558638045e-16	3.451637645227346e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.57649998564	1.9207393180976527e-15	1.345880347182315e-16	8.535042074576673e-16	3.764898514809513e-17	1.4493135055589618e-15	6.294137818309523e-17	2.1088699445992345e-15	9.363130184442683e-17	8.255602657108034e-16	3.494810336068668e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.62649998564	1.967800035108272e-15	1.368826191848446e-16	8.728233688999745e-16	3.811198117283738e-17	1.4825041776830745e-15	6.371107249094423e-17	2.1575972644976813e-15	9.477075663328063e-17	8.444546398669161e-16	3.5378769744491275e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.676499985646	2.0152441232804087e-15	1.3913710404374536e-16	8.922944848998866e-16	3.85718078850426e-17	1.5159785604544254e-15	6.447927251921008e-17	2.2067570011547844e-15	9.591035748786422e-17	8.635097288399368e-16	3.580835034207942e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.72649998565	2.063067606268987e-15	1.4132535882578833e-16	9.119181830812806e-16	3.9028869515142215e-17	1.549736372843506e-15	6.524600744845255e-17	2.25634823505149e-15	9.704981330058279e-17	8.827252340645726e-16	3.6236805625639e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.77649998565	2.1112665533025594e-15	1.4343080535569215e-16	9.31695091289672e-16	3.9483581762015106e-17	1.5837770399251667e-15	6.601116496534689e-17	2.3063700324146764e-15	9.818886154699444e-17	9.021008572531037e-16	3.6664108312942685e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.826499985655	2.1598370783248015e-15	1.454465213663531e-16	9.516258376186638e-16	3.993637018497043e-17	1.6180999873078349e-15	6.677465392214621e-17	2.3568214605794535e-15	9.932728376023691e-17	9.216363003841411e-16	3.709024456267059e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.87649998566	2.208775339140347e-15	1.4737506743936716e-16	9.71710887992845e-16	4.038759361942278e-17	1.6527046411247056e-15	6.753640676496859e-17	2.407701587989038e-15	1.0046490994286073e-16	9.41331265706116e-16	3.751521490925992e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.92649998566	2.2580775365653582e-15	1.4922807862425014e-16	9.919499849020476e-16	4.0837284254258574e-17	1.687590428050305e-15	6.82963814776548e-17	2.459009484197949e-15	1.0160162201748391e-16	9.61185455743481e-16	3.793903496988121e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.97649998566	2.30773991358225e-15	1.5102563312973623e-16	1.0123426695474476e-15	4.128538891104835e-17	1.7227567752793447e-15	6.905456309707342e-17	2.510744219874823e-15	1.0273735639538797e-16	9.811985732889594e-16	3.836173592789928e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
