MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55832.26000000022	nan	nan	nan	nan	nan	nan	3.101748449830715e-16	6.4589889226335445e-18	nan	nan	3.813793928698066e-16	3.6607013493681453e-17	3.814614300864818e-17	2.398515448151643e-17	1.1602234711991812e-16	3.0705265017647564e-17	7.048276167234084e-17	2.8095821226285433e-17	3.1465988707315623e-16	3.1963346557351332e-18
55832.31000000022	nan	nan	nan	nan	nan	nan	3.1693138015066716e-16	6.564711227468764e-18	nan	nan	3.8967494613857323e-16	3.720874351636535e-17	3.897696569789987e-17	2.4377089127125755e-17	1.185500093044705e-16	3.1208180574562046e-17	7.201826582357659e-17	2.8555572701465897e-17	3.2151358021639324e-16	3.2486109197150336e-18
55832.360000000226	nan	nan	nan	nan	nan	nan	3.2371199661097656e-16	6.670245490590364e-18	nan	nan	3.979989166063999e-16	3.7809409737515655e-17	3.9810751886571826e-17	2.4768328655058795e-17	1.21086639443776e-16	3.171020554118268e-17	7.355926089625373e-17	2.901450954012547e-17	3.2839170098916293e-16	3.3007945675095497e-18
55832.41000000023	nan	nan	nan	nan	nan	nan	3.305163564830848e-16	6.775595294702269e-18	nan	nan	4.0635091028325226e-16	3.8409032450135677e-17	4.064746069542349e-17	2.515888639108504e-17	1.2363209791534613e-16	3.2211356995296856e-17	7.510566846534205e-17	2.947264734955109e-17	3.3529390710435604e-16	3.352887371663044e-18
55832.46000000023	nan	nan	nan	nan	nan	nan	3.3734413244872377e-16	6.8807640937565795e-18	nan	nan	4.147305560938625e-16	3.900763120904381e-17	4.1487052623712203e-17	2.5548775204282146e-17	1.2618624776376801e-16	3.271165131332905e-17	7.665741192273111e-17	2.993000114490297e-17	3.422198668334917e-16	3.4048910356872816e-18
55832.510000000235	nan	nan	nan	nan	nan	nan	3.441950071995083e-16	6.98575521981824e-18	nan	nan	4.23137506296264e-16	3.960522490930376e-17	4.23294894392203e-17	2.5938007408303425e-17	1.2874895451205747e-16	3.3211104364945363e-17	7.821441624611072e-17	3.038658544957376e-17	3.4916925952770207e-16	3.456807207025065e-18
55832.56000000024	nan	nan	nan	nan	nan	nan	3.5106867298118355e-16	7.090571889023353e-18	nan	nan	4.3157143674813126e-16	4.0201831788557634e-17	4.3174734147564966e-17	2.632659501048812e-17	1.3132008602071602e-16	3.370973143125237e-17	7.977660792460078e-17	3.08424142390555e-17	3.5614177311700483e-16	3.508637485225407e-18
55832.61000000024	nan	nan	nan	nan	nan	nan	3.5796483116616733e-16	7.195217206957533e-18	nan	nan	4.400320473284855e-16	4.07974694679863e-17	4.4022750964065645e-17	2.671454957095009e-17	1.338995122318651e-16	3.4207547279825245e-17	8.13439147241993e-17	3.1297501027426284e-17	3.6313710473548503e-16	3.5603834116137565e-18
55832.66000000024	nan	nan	nan	nan	nan	nan	3.648831918225559e-16	7.299694175770313e-18	nan	nan	4.485190622579368e-16	4.139215500924649e-17	4.48735051296033e-17	2.7101882187610313e-17	1.3648710522996006e-16	3.4704566171334605e-17	8.291626559853828e-17	3.175185889940852e-17	3.701549616590679e-16	3.612046459124348e-18
55832.71000000025	nan	nan	nan	nan	nan	nan	3.718234733321404e-16	7.404005696990374e-18	nan	nan	4.570322305901449e-16	4.1985904903044e-17	4.572696304488972e-17	2.748860369690705e-17	1.3908273897941917e-16	3.5200801929627355e-17	8.449359053099009e-17	3.2205500471067125e-17	3.7719505751969514e-16	3.6636280768269275e-18
55832.76000000025	nan	nan	nan	nan	nan	nan	3.787854020099397e-16	7.508154578642095e-18	nan	nan	4.655713263449898e-16	4.2578735133958226e-17	4.658309208376924e-17	2.7874724508920975e-17	1.416862893788326e-16	3.569626787450055e-17	8.60758204419909e-17	3.265843795963489e-17	3.8425711550069907e-16	3.7151296496868234e-18
55832.81000000025	nan	nan	nan	nan	nan	nan	3.8576871178992277e-16	7.612143537684016e-18	nan	nan	4.741361492346657e-16	4.317066118767689e-17	4.744186054334735e-17	2.826025474216349e-17	1.4429763417639656e-16	3.619097693723411e-17	8.766288698881335e-17	3.311068319443657e-17	3.913408661486658e-16	3.766552521386367e-18
55832.860000000255	nan	nan	nan	nan	nan	nan	3.9277314385262577e-16	7.715975205852461e-18	nan	nan	4.827265247112411e-16	4.3761698079628946e-17	4.83032376478269e-17	2.8645204182566486e-17	1.4691665300460692e-16	3.668494161685699e-17	8.925472257471982e-17	3.3562247632123255e-17	3.984460467482536e-16	3.817898005340359e-18
55832.91000000026	nan	nan	nan	nan	nan	nan	3.9979844636594874e-16	7.819652132076068e-18	nan	nan	4.913423044929985e-16	4.435186038356037e-17	4.916719342446892e-17	2.902958231915426e-17	1.4954322725883149e-16	3.717817403315666e-17	9.085126021509615e-17	3.4013142361279806e-17	4.055724019473744e-16	3.869167354279724e-18
