MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
57654.75000000028	1.0140219813510565e-15	1.7300675229937162e-17	nan	nan	nan	nan	7.802729243706875e-16	1.0464947049006414e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.80000000028	1.0353813565592223e-15	1.7296283713535052e-17	nan	nan	nan	nan	7.964853072039405e-16	1.054466413399994e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.85000000028	1.0568672984060953e-15	1.7274494671471785e-17	nan	nan	nan	nan	8.128259327372365e-16	1.0614177544463579e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.900000000285	1.0784752771777888e-15	1.7235633835452212e-17	nan	nan	nan	nan	8.292938883732906e-16	1.0675394828694813e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.95000000029	1.1002007649307215e-15	1.7180176636563785e-17	nan	nan	nan	nan	8.458882624399365e-16	1.0730562419528653e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57655.00000000029	1.122039235423575e-15	1.710874471677104e-17	nan	nan	nan	nan	8.626081441839664e-16	1.0782189848858934e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57655.050000000294	1.1439861640477512e-15	1.7022101289343705e-17	nan	nan	nan	nan	8.794526237651835e-16	1.0832956957872608e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57655.1000000003	1.1660364330814265e-15	1.6920941984353922e-17	nan	nan	nan	nan	8.964196909591396e-16	1.0884712372263633e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57655.1500000003	1.188182547578511e-15	1.6805283993054976e-17	nan	nan	nan	nan	9.135029312720376e-16	1.0935728847905999e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57655.2000000003	1.2104164192879677e-15	1.6675090522771728e-17	nan	nan	nan	nan	9.30694829766087e-16	1.0983445404930864e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57655.250000000306	1.2327299612080342e-15	1.6530494385961966e-17	nan	nan	nan	nan	9.479878722878917e-16	1.1025463507866896e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57655.30000000031	1.2551150874638963e-15	1.6371818050151966e-17	nan	nan	nan	nan	9.65374545418638e-16	1.1059632118260137e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57655.35000000031	1.2775637131858064e-15	1.61995935009112e-17	nan	nan	nan	nan	9.82847336413185e-16	1.1084114237638028e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57655.400000000314	1.3000677543851268e-15	1.6014582131565375e-17	nan	nan	nan	nan	1.0003987331487135e-15	1.1097438092036644e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57655.45000000032	1.322619127832956e-15	1.5817794759480923e-17	nan	nan	nan	nan	1.0180212240661529e-15	1.1098536039700692e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57655.50000000032	1.3452097509373372e-15	1.5610511717252702e-17	nan	nan	nan	nan	1.0357072981180324e-15	1.1086773878787093e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
