MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
57263.25280000012	nan	nan	nan	nan	nan	nan	nan	nan	5.9470864626399286e-15	6.006281646195324e-17	nan	nan	2.3967831457503965e-15	1.4449308680672686e-17	3.910883694652753e-15	1.970349366006687e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.30280000012	nan	nan	nan	nan	nan	nan	nan	nan	5.988018399938999e-15	6.07232043382011e-17	nan	nan	2.4142344092524996e-15	1.4598657534198224e-17	3.936593183884699e-15	1.9915955351280063e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.352800000124	nan	nan	nan	nan	nan	nan	nan	nan	6.027617117591461e-15	6.138790296075193e-17	nan	nan	2.4311308736198803e-15	1.4745912706964615e-17	3.961475740624866e-15	2.01284973007526e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.40280000013	nan	nan	nan	nan	nan	nan	nan	nan	6.065954080781349e-15	6.205783837443555e-17	nan	nan	2.4474986581822762e-15	1.489139084969587e-17	3.985566336006815e-15	2.0340069040799978e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.45280000013	nan	nan	nan	nan	nan	nan	nan	nan	6.103086613477848e-15	6.273192869239382e-17	nan	nan	2.46336387693706e-15	1.5035515319678188e-17	4.008899933137183e-15	2.0549793368519238e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.50280000013	nan	nan	nan	nan	nan	nan	nan	nan	6.139071461285079e-15	6.340950712511505e-17	nan	nan	2.478752638777516e-15	1.5178807924990983e-17	4.031511487428736e-15	2.0756987164150568e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.552800000136	nan	nan	nan	nan	nan	nan	nan	nan	6.173965333983841e-15	6.40904576766394e-17	nan	nan	2.493691047794242e-15	1.53218783851465e-17	4.0534359469595074e-15	2.096117568936661e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.60280000014	nan	nan	nan	nan	nan	nan	nan	nan	6.207824907251416e-15	6.477524017591553e-17	nan	nan	2.508205203489591e-15	1.5465411534782973e-17	4.074708252887188e-15	2.1162101070913878e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.65280000014	nan	nan	nan	nan	nan	nan	nan	nan	6.240706824341585e-15	6.546490045675008e-17	nan	nan	2.5223193168955027e-15	1.5609905254216578e-17	4.0953633397560855e-15	2.135972555358411e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.702800000145	nan	nan	nan	nan	nan	nan	nan	nan	6.272667697784547e-15	6.616106660843525e-17	nan	nan	2.5360500583063963e-15	1.57549193776837e-17	4.11543613576264e-15	2.155422996510397e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.75280000015	nan	nan	nan	nan	nan	nan	nan	nan	6.303764111077124e-15	6.686593198862057e-17	nan	nan	2.5494122099573717e-15	1.5899826141438205e-17	4.13496156321586e-15	2.174600771473218e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.80280000015	nan	nan	nan	nan	nan	nan	nan	nan	6.334052620372487e-15	6.758222550277039e-17	nan	nan	2.562420550331306e-15	1.6044070863178504e-17	4.153974538882649e-15	2.193565452845454e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.85280000015	nan	nan	nan	nan	nan	nan	nan	nan	6.3635897561689094e-15	6.831316952129966e-17	nan	nan	2.575089854328827e-15	1.618718272729124e-17	4.1725099742303e-15	2.212395402865665e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.902800000156	nan	nan	nan	nan	nan	nan	nan	nan	6.392431821328757e-15	6.906238535059541e-17	nan	nan	2.5874348933621917e-15	1.6328782988054578e-17	4.190602775943722e-15	2.2311859198825515e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.95280000016	nan	nan	nan	nan	nan	nan	nan	nan	6.420624794938721e-15	6.98318293320259e-17	nan	nan	2.599470435565774e-15	1.6468590844386948e-17	4.208287846062029e-15	2.250046973139165e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.00280000016	nan	nan	nan	nan	nan	nan	nan	nan	6.448199682814538e-15	7.062084971751947e-17	nan	nan	2.6112112459037812e-15	1.6606427210936348e-17	4.225599969951589e-15	2.269099027055353e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.052800000165	nan	nan	nan	nan	nan	nan	nan	nan	6.4751862962406046e-15	7.142895373313678e-17	nan	nan	2.6226720863253996e-15	1.6742216576376612e-17	4.242566696923194e-15	2.2883754098777036e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.10280000017	nan	nan	nan	nan	nan	nan	nan	nan	6.501614427428239e-15	7.225607318872555e-17	nan	nan	2.633867715915992e-15	1.687598710162648e-17	4.259204079602469e-15	2.307764858951619e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.15280000017	nan	nan	nan	nan	nan	nan	nan	nan	6.527513850372922e-15	7.310258398361192e-17	nan	nan	2.644812891053236e-15	1.7007869074437872e-17	4.275527144664085e-15	2.3271531902312708e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.202800000174	nan	nan	nan	nan	nan	nan	nan	nan	6.552914321744031e-15	7.396931331633673e-17	nan	nan	2.65552236553361e-15	1.713809180223391e-17	4.2915509156026415e-15	2.3464393573681583e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.25280000018	nan	nan	nan	nan	nan	nan	nan	nan	6.577845581776517e-15	7.485753543664242e-17	nan	nan	2.6660108907305108e-15	1.7266978994541315e-17	4.3072904126927575e-15	2.365537390075727e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.30280000018	nan	nan	nan	nan	nan	nan	nan	nan	6.602337355157248e-15	7.576895669455898e-17	nan	nan	2.67629321574347e-15	1.7394942661661612e-17	4.3227606533712404e-15	2.384377867010902e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.35280000018	nan	nan	nan	nan	nan	nan	nan	nan	6.62641935188903e-15	7.670569056919309e-17	nan	nan	2.686384087538481e-15	1.7522475538054562e-17	4.337976652183361e-15	2.4029089702440104e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.402800000185	nan	nan	nan	nan	nan	nan	nan	nan	6.650121268230804e-15	7.767022331592467e-17	nan	nan	2.6962982511209342e-15	1.765014202744025e-17	4.352953421117443e-15	2.4210971636049854e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.45280000019	nan	nan	nan	nan	nan	nan	nan	nan	6.6734727875131525e-15	7.866537085629982e-17	nan	nan	2.7060504496324616e-15	1.7778567664548618e-17	4.367705969580299e-15	2.4389275300811163e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.50280000019	nan	nan	nan	nan	nan	nan	nan	nan	6.696503581070246e-15	7.969422755557705e-17	nan	nan	2.715655267122269e-15	1.7908399909125935e-17	4.382249304681175e-15	2.4564037957135316e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.552800000194	nan	nan	nan	nan	nan	nan	nan	nan	6.719243030292546e-15	8.076003214833625e-17	nan	nan	2.7251233781218754e-15	1.8039648566832415e-17	4.396598431299272e-15	2.4735480603411952e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.6028000002	nan	nan	nan	nan	nan	nan	nan	nan	6.741711659431973e-15	8.186378978648937e-17	nan	nan	2.734461381185604e-15	1.817165641209288e-17	4.410768352287878e-15	2.490400248251534e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.6528000002	nan	nan	nan	nan	nan	nan	nan	nan	6.763919526746542e-15	8.300381925203787e-17	nan	nan	2.7436756827514502e-15	1.830378058943493e-17	4.424774068538826e-15	2.5070172850737197e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.7028000002	nan	nan	nan	nan	nan	nan	nan	nan	6.785876077615748e-15	8.417844780967409e-17	nan	nan	2.7527726879411187e-15	1.843543600282282e-17	4.4386305792695e-15	2.5234720027089878e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.752800000206	nan	nan	nan	nan	nan	nan	nan	nan	6.80759074830389e-15	8.538620164392689e-17	nan	nan	2.761758800648961e-15	1.8566103858856067e-17	4.4523528820320435e-15	2.539851769730615e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57264.80280000021	nan	nan	nan	nan	nan	nan	nan	nan	6.829072966326345e-15	8.662582332685945e-17	nan	nan	2.7706404235795277e-15	1.8695338465917366e-17	4.465955972975806e-15	2.5562568425784842e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
